LOC124903842	0	0	0
LINC01647	0	0	0
FBXO2	82	2	89
FBXO44	182	12	180
FBXO6	7	7	0
MAD2L2	822	1	822
DRAXIN	1	0	1
AGTRAP	706	4	702
C1orf167	0	106	60
C1orf167-AS1	0	0	0
MTHFR	154	60	260
CLCN6	221	0	221
NPPA-AS1	3	0	3
NPPA	0	0	0
NPPB	0	0	0
RNU5E-1	1	0	1
LOC124903843	2	2	0
KIAA2013	2058	2	2056
PLOD1	4817	4	4813
MFN2	2631	0	2631
MIIP	825	0	825
MIR6729	0	0	0
TNFRSF8	48	0	48
MIR7846	0	0	0
TNFRSF1B	1	0	1
LOC124903844	0	0	0
MIR4632	0	0	0
VPS13D	1012	0	1012
LOC124903845	0	0	0
SNORA59A	3	0	3
LINC02766	0	0	0
DHRS3	772	0	772
MIR6730	0	0	0
AADACL4	0	0	0
LOC124903846	2	0	2
AADACL3	0	0	0
LOC124904811	0	0	0
CFAP107	0	0	0
PRAMEF12	0	0	0
PRAMEF1	0	0	0
LINC01784	0	0	0
PRAMEF11	0	0	0
HNRNPCL1	0	0	0
PRAMEF2	0	0	0
PRAMEF4	0	0	0
PRAMEF10	0	0	0
PRAMEF7	0	0	0
PRAMEF6	0	0	0
PRAMEF27	0	0	0
HNRNPCL3	0	0	0
PRAMEF25	0	0	0
PRAMEF34P	0	0	0
HNRNPCL2	0	0	0
PRAMEF36P	0	0	0
PRAMEF26	0	0	0
HNRNPCL4	0	0	0
PRAMEF9	0	0	0
PRAMEF13	0	0	0
PRAMEF18	0	0	0
PRAMEF5	0	0	0
PRAMEF8	0	0	0
PRAMEF33	0	0	0
PRAMEF15	0	0	0
PRAMEF14	0	0	0
PRAMEF19	0	0	0
PRAMEF17	0	0	0
PRAMEF20	0	0	0
LRRC38	0	0	0
LOC102724856	0	0	0
LOC107984918	0	0	0
PDPN	0	0	0
LOC105378612	0	0	0
LOC105376756	0	0	0
LOC124900446	0	0	0
PRDM2	200	0	200
KAZN	33	12	33
LOC107985467	0	0	0
LOC124903847	0	0	0
KAZN-AS1	0	0	0
LOC124903850	0	0	0
LOC105376759	0	0	0
LOC124903848	0	0	0
LOC107985469	0	0	0
LOC124903849	0	0	0
TMEM51-AS1	2	0	14
TMEM51	170	3	167
TMEM51-AS2	0	0	0
FHAD1	21	23	24
LOC124903853	12	0	19
LOC124903852	12	0	12
FHAD1-AS1	5	16	7
LOC124903851	3	1	2
EFHD2-AS1	7	0	7
EFHD2	2822	0	2822
CTRC	1	1	0
CELA2A	0	0	0
LOC105376767	0	0	0
CELA2B	5	8	0
CASP9	686	1	688
DNAJC16	317	9	310
SCARNA21B	0	0	0
AGMAT	120	2	120
LOC124903854	1	0	1
DDI2	494	0	494
RSC1A1	0	0	0
PLEKHM2	1231	0	1231
SLC25A34	7	1	9
SLC25A34-AS1	0	2	1
TMEM82	4	0	4
FBLIM1	276	1	275
UQCRHL	398	1	397
SPEN-AS1	65	7	64
SPEN	1525	1	1530
LOC124904815	0	0	0
ZBTB17	349	3	346
LOC124903855	10	0	10
SRARP	0	0	0
HSPB7	949	7	942
CLCNKA	37	0	37
CLCNKB	4	4	0
FAM131C	151	0	151
EPHA2	1691	1	1690
