"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLAIN2",531.184652119846,0.0811240511848844,0.140491685407405,0.577429553568502,0.563649314627163,0.8208428614782
"FRYL",496.57533709571,0.284217514242371,0.187187689847489,1.51835579825755,0.128924728288305,0.417544839634035
"OCIAD1",1539.90445220887,0.0256300620500554,0.117302437543326,0.218495562298855,0.827043015571456,0.936095638058158
"OCIAD1-AS1",5.53812724255791,0.105799047676207,0.777567308083391,0.136064166505391,0.891770555013613,NA
"OCIAD2",172.946126406643,0.0503106503420287,0.173332545298266,0.290255071576174,0.771621107632509,0.914215118480675
"DCUN1D4",641.630408599961,0.0554241100038165,0.211093891492531,0.262556673771764,0.792892297963386,0.923157369130084
"USP46",224.479667280489,-0.0726307148737423,0.162088798637127,-0.448092129033189,0.654086708297196,0.86489036237272
"USP46-DT",14.0256679521727,-0.0621474950707821,0.549201416594913,-0.113159750126103,0.909903905388799,NA
"DANCR",402.450748086828,-0.358616937824755,0.149414679150942,-2.40014528600949,0.0163885657596917,0.120486130152637
"SNORA26",4.40132247958375,-1.2973065158282,0.937110455298505,-1.38436884200055,0.166245544431183,NA
"SCFD2",127.458673308714,-0.382729594895658,0.202843309011767,-1.88682385808179,0.0591840210367321,0.265127552813167
"FIP1L1",506.162670296716,0.395016194463588,0.147194102331343,2.68364145170969,0.00728251609945097,0.0690329841861295
"LNX1",22.4444901695458,0.133110513560445,0.40533144697071,0.328399176908826,0.742609865246313,0.90189450245145
"LNX1-AS2",1.77017634066745,0.70613974920502,1.51430174874866,0.466313764603743,0.64099092761278,NA
"CHIC2",86.3547431759391,0.164725329258638,0.245779473207846,0.670215974949774,0.502720121677522,0.78888677776716
"SRD5A3",598.825847266466,-0.170368808369953,0.145195259912521,-1.17337720578894,0.240644573887649,0.570499075562143
"SRD5A3-AS1",1.90550695564915,-1.58122505618053,1.46100328451873,-1.08228713305145,0.279124961547848,NA
