"","SRR31732086.ReadsPerGene.out.tab","SRR31732087.ReadsPerGene.out.tab","SRR31732088.ReadsPerGene.out.tab","SRR31732089.ReadsPerGene.out.tab","SRR31732090.ReadsPerGene.out.tab","SRR31732091.ReadsPerGene.out.tab"
"RBP7",0,2,0,0,0,0
"UBE4B",824,766,923,923,829,765
"KIF1B",868,752,928,813,632,584
"PGD",1783,1736,1951,2925,2390,2718
"CENPS-CORT",0,0,0,0,0,0
"CENPS",2,5,3,2,2,1
"CORT",2,4,4,5,3,1
"DFFA",836,861,1055,1071,818,1032
"PEX14",377,333,516,456,348,412
"CASZ1",188,151,156,188,184,198
"LOC105376733",0,0,0,0,0,0
"LOC105376735",0,0,0,0,0,0
"CIROZ",3,4,7,1,1,1
"TARDBP",2870,2605,3298,3384,2792,1922
"MASP2",5,7,4,9,4,1
"SRM",1401,1577,1832,1591,1362,1813
"EXOSC10",1873,1560,2210,1839,1516,1410
"EXOSC10-AS1",0,4,2,0,2,1
"MTOR",1582,1398,1840,1695,1492,1553
"MTOR-AS1",0,0,0,0,0,0
"LOC124904848",0,0,0,0,0,0
"ANGPTL7",0,2,0,0,1,3
"UBIAD1",242,249,313,341,297,355
"LOC105376737",0,0,0,0,0,0
"LOC105376739",0,0,0,0,0,0
"LOC105376740",0,0,0,0,0,0
"LOC124903841",0,0,0,0,0,0
"DISP3",5,4,7,5,8,11
"LOC124903842",0,0,0,0,0,0
"LINC01647",0,1,1,0,0,1
"FBXO2",62,50,43,82,53,63
"FBXO44",95,101,103,182,147,124
"FBXO6",3,5,2,7,7,1
"MAD2L2",660,636,808,822,696,799
"DRAXIN",2,1,0,1,0,0
"AGTRAP",700,662,859,706,542,747
"C1orf167",0,0,0,0,0,0
"C1orf167-AS1",0,0,0,0,0,0
"MTHFR",213,190,248,154,148,206
"CLCN6",213,185,255,221,155,213
"NPPA-AS1",2,0,2,3,3,0
"NPPA",4,1,3,0,1,1
"NPPB",0,0,0,0,0,0
"RNU5E-1",0,0,0,1,0,1
"LOC124903843",0,0,0,2,0,0
"KIAA2013",1052,1016,1281,2058,1714,1748
"PLOD1",4556,4609,6267,4817,3903,4572
"MFN2",2128,1930,2492,2631,2146,2543
"MIIP",1038,954,1227,825,665,898
"MIR6729",0,0,0,0,0,0
"TNFRSF8",72,64,74,48,43,41
"MIR7846",0,0,0,0,0,0
"TNFRSF1B",2,0,2,1,1,1
"LOC124903844",0,0,0,0,0,0
"MIR4632",0,0,0,0,0,0
"VPS13D",898,879,1073,1012,826,617
"LOC124903845",0,1,0,0,0,0
"SNORA59A",0,1,2,3,1,0
"LINC02766",0,2,0,0,0,0
"DHRS3",683,672,1031,772,655,791
"MIR6730",0,2,0,0,0,0
"AADACL4",0,0,0,0,0,0
"LOC124903846",4,2,4,2,1,1
"AADACL3",0,0,0,0,0,0
"LOC124904811",0,0,0,0,0,0
"CFAP107",0,0,1,0,0,0
"PRAMEF12",0,0,0,0,0,0
"PRAMEF1",0,0,0,0,0,0
"LINC01784",0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0
"PRAMEF2",0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0
"PRAMEF7",0,0,0,0,0,0
"PRAMEF6",0,0,0,0,0,0
"PRAMEF27",0,0,0,0,0,0
"HNRNPCL3",0,0,0,0,0,0
"PRAMEF25",0,0,0,0,0,0
"PRAMEF34P",0,0,0,0,0,0
"HNRNPCL2",0,0,0,0,0,0
"PRAMEF36P",0,0,0,0,0,0
